year,fage,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1981,e) 4,239408,252660,2088087,2134041,11373,4.254,40743,15.240,422450,74170,348280,3.476,19.796,514449,196049,318400,9.187,24.107,-91999,-4.311,39.592,30918,31283,152176
1981,f) 5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1981,g) 6 to 10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1981,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1981,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1981,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1981,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1981,l) Left Censored,2222465,3027843,65005416,65579482,112566,3.640,241895,7.822,7737884,1897069,5840815,2.893,11.799,8873588,2251826,6621762,3.434,13.531,-1135704,-1.732,23.598,153615,158854,993920
1982,a) 0,418627,425083,2270738,1135391,425083,200.000,X,X,2270741,2270738,X,199.996,199.996,X,X,X,X,X,2270699,199.993,X,X,X,X
1982,b) 1,309384,315805,2199323,2282061,4578,1.228,118815,31.860,686672,52363,634309,2.295,30.090,844757,496413,348344,21.753,37.017,-158085,-6.927,60.180,97395,97513,427099
1982,c) 2,263892,271426,1883550,1983373,12049,4.033,66647,22.310,451780,72646,379134,3.663,22.778,649714,319196,330518,16.094,32.758,-197934,-9.980,45.557,54016,54183,271622
1982,d) 3,245302,253506,1856082,1937881,10889,3.966,52948,19.286,393403,56314,337089,2.906,20.301,555613,244732,310881,12.629,28.671,-162210,-8.370,40.601,41962,42097,203029
1982,e) 4,229809,241346,1909509,1980146,10423,4.042,43404,16.834,384630,70197,314433,3.545,19.424,525459,211818,313641,10.697,26.536,-140829,-7.112,38.849,33127,33411,171437
1982,f) 5,211288,225682,1940384,2013314,9497,3.969,36666,15.324,352043,59124,292919,2.937,17.486,496943,189864,307079,9.430,24.683,-144900,-7.197,34.971,26890,27230,141055
1982,g) 6 to 10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1982,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1982,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1982,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1982,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1982,l) Left Censored,2063394,2883909,62826189,63913096,102580,3.467,252482,8.533,7318834,1646267,5672567,2.576,11.451,9476941,2391975,7084966,3.743,14.828,-2158107,-3.377,22.902,152883,157774,1006338
1983,a) 0,456593,460859,2588121,1294064,460859,199.999,X,X,2588121,2588121,X,199.999,199.999,X,X,X,X,X,2588113,199.999,X,X,X,X
1983,b) 1,314215,322189,2093011,2183140,2254,0.604,104125,27.906,592339,23567,568772,1.080,27.132,766572,447119,319453,20.481,35.113,-174233,-7.981,54.265,83991,84318,379176
1983,c) 2,261034,268703,1996182,2094650,11839,4.053,58645,20.077,438686,62413,376273,2.980,20.943,633358,300017,333341,14.323,30.237,-194672,-9.294,41.886,46900,47227,251075
1983,d) 3,231117,239738,1751203,1818538,12076,4.726,43594,17.062,365544,54888,310656,3.018,20.101,498983,220633,278350,12.132,27.439,-133439,-7.338,40.202,34244,34486,181318
1983,e) 4,219086,228033,1726229,1785860,11266,4.682,36401,15.129,336332,58738,277594,3.289,18.833,455359,188050,267309,10.530,25.498,-119027,-6.665,37.666,28213,28420,151642
1983,f) 5,208688,221437,1814544,1864359,11622,5.024,31430,13.586,348263,68842,279421,3.693,18.680,447895,165565,282330,8.881,24.024,-99632,-5.344,37.360,23365,23762,125325
1983,g) 6 to 10,194084,209128,1818233,1876528,10344,4.756,27040,12.434,326138,59904,266234,3.192,17.380,442720,174122,268598,9.279,23.593,-116582,-6.213,34.760,19732,20081,136852
1983,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1983,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1983,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1983,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1983,l) Left Censored,1945671,2761932,60194212,61497540,103971,3.682,228173,8.080,7256695,1564373,5692322,2.544,11.800,9866585,2613758,7252827,4.250,16.044,-2609890,-4.244,23.600,126593,131754,871804
1984,a) 0,529586,533954,2918578,1459319,533954,199.999,X,X,2918575,2918575,X,199.996,199.996,X,X,X,X,X,2918512,199.991,X,X,X,X
1984,b) 1,341451,346646,2586770,2583533,1202,0.298,114312,28.351,826001,19894,806107,0.770,31.972,806520,500635,305885,19.378,31.218,19481,0.754,62.435,93468,93601,422887
1984,c) 2,267746,275805,2092513,2080143,9897,3.311,56039,18.750,546188,56889,489299,2.735,26.257,519585,279094,240491,13.417,24.978,26603,1.279,49.957,45568,45984,236665
1984,d) 3,231985,239607,2046481,2020533,10546,4.148,39814,15.660,479704,57380,422324,2.840,23.741,426581,208825,217756,10.335,21.112,53123,2.629,42.225,31873,32231,174078
1984,e) 4,210023,218622,1810055,1779703,9982,4.349,31808,13.858,410769,48944,361825,2.750,23.081,349484,161030,188454,9.048,19.637,61285,3.444,39.274,24867,25210,130133
1984,f) 5,201277,210193,1768949,1747051,10028,4.574,28152,12.840,377340,46855,330485,2.682,21.599,333688,143334,190354,8.204,19.100,43652,2.499,38.200,21614,21885,112331
1984,g) 6 to 10,375623,403984,3745403,3687487,19646,4.705,46776,11.203,765682,123759,641923,3.356,20.764,648017,261992,386025,7.105,17.573,117665,3.191,35.147,34723,35418,196025
1984,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1984,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1984,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1984,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1984,l) Left Censored,1843438,2674867,61770941,60922343,103509,3.807,192172,7.067,8590991,1952760,6638231,3.205,14.102,6886303,2073388,4812915,3.403,11.303,1704688,2.798,22.607,112626,116787,795558
1985,a) 0,512398,516849,2968251,1484142,516849,199.999,X,X,2968248,2968248,X,199.998,199.998,X,X,X,X,X,2968211,199.995,X,X,X,X
1985,b) 1,392941,398536,2919480,2930727,1319,0.283,135988,29.190,920448,24156,896292,0.824,31.407,929683,582236,347447,19.867,31.722,-9235,-0.315,62.814,111485,111621,498393
1985,c) 2,283945,289647,2487774,2532914,11972,3.764,68889,21.656,646637,75813,570824,2.993,25.529,734239,414340,319899,16.358,28.988,-87602,-3.459,51.059,56743,56927,321130
1985,d) 3,235306,243491,2026913,2046563,10984,4.231,43164,16.628,452934,53844,399090,2.631,22.131,491525,242513,249012,11.850,24.017,-38591,-1.886,44.263,34829,35289,202154
1985,e) 4,208181,216061,1997835,2014132,9757,4.281,33466,14.684,416174,53032,363142,2.633,20.663,447840,207655,240185,10.310,22.235,-31666,-1.572,41.325,26352,26770,169741
1985,f) 5,190514,199400,1783065,1790400,9278,4.439,28520,13.645,368587,53743,314844,3.002,20.587,382510,169980,212530,9.494,21.364,-13923,-0.778,41.174,22248,22619,136589
1985,g) 6 to 10,529774,568496,5488805,5512049,26689,4.511,72889,12.321,1035609,156153,879456,2.833,18.788,1079443,453049,626394,8.219,19.583,-43834,-0.795,37.576,54441,55600,349564
1985,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1985,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1985,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1985,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1985,l) Left Censored,1719848,2553678,62019167,61917166,96394,3.687,217545,8.321,8159645,1804732,6354913,2.915,13.178,7957171,2777458,5179713,4.486,12.851,202474,0.327,25.703,125560,131865,1138519
1986,a) 0,516927,518900,2970083,1485047,518900,199.998,X,X,2970083,2970083,X,199.999,199.999,X,X,X,X,X,2970072,199.999,X,X,X,X
1986,b) 1,381094,389316,2874682,2932638,4182,0.924,131070,28.949,876132,59915,816217,2.043,29.875,982715,602846,379869,20.556,33.510,-106583,-3.634,59.750,105985,106289,507589
1986,c) 2,332078,340689,2773320,2846214,15012,4.062,72744,19.684,647042,96134,550908,3.378,22.733,791178,399603,391575,14.040,27.798,-144136,-5.064,45.467,58756,58985,335403
1986,d) 3,247211,255845,2294762,2378844,12565,4.607,46312,16.982,493635,84326,409309,3.545,20.751,661810,282439,379371,11.873,27.821,-168175,-7.070,41.502,36941,37162,228374
1986,e) 4,210685,220869,1973937,2002112,9739,4.194,32417,13.960,398934,65729,333205,3.283,19.926,453858,187867,265991,9.383,22.669,-54924,-2.743,39.851,25488,25814,153514
1986,f) 5,188646,198218,1937204,1969894,9101,4.393,26969,13.019,364869,58439,306430,2.967,18.522,428961,168752,260209,8.567,21.776,-64092,-3.254,37.045,20831,21131,134925
1986,g) 6 to 10,664544,719169,7129532,7200762,34989,4.703,84614,11.373,1311023,249331,1061692,3.463,18.207,1453350,514079,939271,7.139,20.183,-142327,-1.977,36.413,62239,63490,381028
1986,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1986,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1986,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1986,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1986,l) Left Censored,1616137,2469161,61784421,61836253,106499,4.242,189527,7.549,7921502,1959174,5962328,3.168,12.810,8015202,2213024,5802178,3.579,12.962,-93700,-0.152,25.621,104495,109692,810032
1987,a) 0,513548,522108,3393509,1696775,522108,199.999,X,X,3393506,3393506,X,199.997,199.997,X,X,X,X,X,3393462,199.995,X,X,X,X
1987,b) 1,383390,393571,2903766,2941951,8041,1.764,132420,29.055,940964,101548,839416,3.452,31.984,1008212,608449,399763,20.682,34.270,-67248,-2.286,63.969,108771,108867,522406
1987,c) 2,320484,331109,2620346,2732845,16022,4.457,72737,20.235,670644,109675,560969,4.013,24.540,894302,406158,488144,14.862,32.724,-223658,-8.184,49.080,59386,59626,339166
1987,d) 3,292421,303466,2501041,2618963,14706,4.571,51169,15.906,572997,104692,468305,3.997,21.879,808703,307610,501093,11.745,30.879,-235706,-9.000,43.758,41285,41462,259330
1987,e) 4,220091,231576,2197801,2228162,11817,4.850,35979,14.766,517033,125211,391822,5.619,23.204,575770,232042,343728,10.414,25.841,-58737,-2.636,46.409,28809,29008,192403
1987,f) 5,190315,201579,1897412,1934571,8911,4.221,27988,13.257,367887,59126,308761,3.056,19.016,440341,177953,262388,9.199,22.762,-72454,-3.745,38.033,21828,22143,143329
1987,g) 6 to 10,787557,856035,8892929,8984307,40209,4.534,101894,11.489,1638899,319700,1319199,3.558,18.242,1820641,694167,1126474,7.726,20.265,-181742,-2.023,36.484,73887,75309,485850
1987,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1987,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1987,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1987,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1987,l) Left Censored,1515937,2384728,61450048,62054646,117856,4.853,205339,8.455,8224191,2281992,5942199,3.677,13.253,9430472,2837607,6592865,4.573,15.197,-1206281,-1.944,26.506,101855,107753,876824
1988,a) 0,506970,515029,3044893,1522451,515029,199.999,X,X,3044892,3044892,X,199.999,199.999,X,X,X,X,X,3044881,199.999,X,X,X,X
1988,b) 1,380430,390692,3249009,3311304,2648,0.581,132559,29.092,888920,36716,852204,1.109,26.845,1003546,614962,388584,18.572,30.307,-114626,-3.462,53.690,108124,108642,529252
1988,c) 2,331440,343258,2949300,3040587,15125,4.059,73843,19.817,672465,98210,574255,3.230,22.116,855737,432540,423197,14.226,28.144,-183272,-6.028,44.233,59704,60141,368150
1988,d) 3,279917,291940,2458836,2525694,13508,4.342,51835,16.662,532688,88175,444513,3.491,21.091,665066,309690,355376,12.262,26.332,-132378,-5.241,42.182,41653,42114,256632
1988,e) 4,263094,276177,2379908,2429519,12672,4.376,39438,13.620,470778,77005,393773,3.170,19.377,570174,239228,330946,9.847,23.469,-99396,-4.091,38.755,30958,31291,190764
1988,f) 5,198809,211916,2075344,2116182,9854,4.448,29071,13.123,392478,72530,319948,3.427,18.547,474847,195109,279738,9.220,22.439,-82369,-3.892,37.093,22530,22932,153633
1988,g) 6 to 10,773121,839203,8770731,8875969,37156,4.286,92437,10.664,1545606,308688,1236918,3.478,17.413,1753428,617104,1136324,6.953,19.755,-207822,-2.341,34.827,68541,70106,465944
1988,h) 11 to 15,135671,156798,1872562,1878472,7071,4.397,15105,9.393,328140,87095,241045,4.636,17.468,340643,108405,232238,5.771,18.134,-12503,-0.666,34.937,10095,10621,65856
1988,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1988,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1988,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1988,l) Left Censored,1438483,2333446,61582161,61493240,125529,5.320,177486,7.522,8510268,2428426,6081842,3.949,13.839,8329451,2580146,5749305,4.196,13.545,180817,0.294,27.091,83791,89501,757850
1989,a) 0,502548,509531,2993211,1496606,509531,200.000,X,X,2993211,2993211,X,200.000,200.000,X,X,X,X,X,2993211,200.000,X,X,X,X
1989,b) 1,380105,389723,3063388,3077784,2384,0.527,127533,28.197,955738,49229,906509,1.599,31.053,976340,594531,381809,19.317,31.722,-20602,-0.669,62.106,104610,105083,497087
1989,c) 2,322746,334248,3146793,3194978,13655,3.767,70184,19.360,676393,105878,570515,3.314,21.171,772328,407545,364783,12.756,24.173,-95935,-3.003,42.341,57301,57958,345424
1989,d) 3,291934,304863,2831654,2886238,13158,4.060,51652,15.937,571036,83211,487825,2.883,19.785,677414,321773,355641,11.149,23.470,-106378,-3.686,39.570,41694,42360,271137
1989,e) 4,250856,264639,2412538,2439404,11483,4.123,39264,14.097,484678,79087,405591,3.242,19.869,538430,242929,295501,9.959,22.072,-53752,-2.203,39.737,31166,31670,196483
1989,f) 5,240919,253923,2344281,2366639,10170,3.836,32538,12.274,440876,69718,371158,2.946,18.629,484554,201717,282837,8.523,20.474,-43678,-1.846,37.258,24940,25951,156111
1989,g) 6 to 10,769958,836189,9073153,9104687,33773,3.907,90027,10.416,1542847,271427,1271420,2.981,16.946,1607596,616775,990821,6.774,17.657,-64749,-0.711,33.891,67980,70015,470331
1989,h) 11 to 15,261688,300758,3650173,3656870,11689,3.784,27949,9.048,585645,109499,476146,2.994,16.015,597791,206577,391214,5.649,16.347,-12146,-0.332,32.030,19482,20308,137879
1989,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1989,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1989,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1989,l) Left Censored,1360961,2277284,61816376,61644690,117602,5.101,173736,7.536,8027331,2176154,5851177,3.530,13.022,7706485,2394387,5312098,3.884,12.501,320846,0.520,25.003,82338,88409,711451
1990,a) 0,493052,498687,2896304,1448155,498687,199.999,X,X,2896305,2896304,X,200.000,200.000,X,X,X,X,X,2896299,199.999,X,X,X,X
1990,b) 1,376103,384793,2943454,2997723,2273,0.509,126523,28.310,896778,38316,858462,1.278,29.915,997592,584905,412687,19.512,33.278,-100814,-3.363,59.831,104645,104959,506333
1990,c) 2,320143,331526,2870112,2967112,13648,3.784,71992,19.959,654207,102231,551976,3.445,22.049,847824,424479,423345,14.306,28.574,-193617,-6.525,44.097,59760,60211,359389
1990,d) 3,283375,295956,3049131,3094225,13408,4.256,51513,16.353,557679,80920,476759,2.615,18.023,650133,301670,348463,9.749,21.011,-92454,-2.988,36.046,42144,42815,258529
1990,e) 4,262224,276306,2717682,2773809,11791,4.057,40391,13.899,484748,76064,408684,2.742,17.476,597594,252519,345075,9.104,21.544,-112846,-4.068,34.952,32601,33161,211169
1990,f) 5,228244,243008,2347988,2380045,10405,4.098,32201,12.682,424862,74667,350195,3.137,17.851,489071,198434,290637,8.337,20.549,-64209,-2.698,35.702,25577,26162,165771
1990,g) 6 to 10,813727,882716,9555369,9647131,34284,3.762,91279,10.017,1522180,271763,1250417,2.817,15.779,1705269,594062,1111207,6.158,17.676,-183089,-1.898,31.557,69485,71546,450726
1990,h) 11 to 15,375467,429694,5328167,5345760,15537,3.525,37661,8.545,816505,148828,667677,2.784,15.274,851925,270220,581705,5.055,15.936,-35420,-0.663,30.548,26970,28143,180230
1990,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1990,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1990,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1990,l) Left Censored,1292902,2227412,61962251,61932044,100852,4.477,151329,6.718,7267198,1883311,5383887,3.041,11.734,7199024,1938559,5260465,3.130,11.624,68174,0.110,23.248,72716,77880,587793
1991,a) 0,450736,455641,2547398,1273700,455641,200.000,X,X,2547398,2547398,X,200.000,200.000,X,X,X,X,X,2547396,200.000,X,X,X,X
1991,b) 1,363758,373024,2579533,2717015,3909,0.898,128078,29.436,741478,46699,694779,1.719,27.290,1008962,592076,416886,21.791,37.135,-267484,-9.845,54.580,104145,104318,501296
1991,c) 2,312971,323862,2542477,2724002,13504,3.816,73445,20.757,542205,85171,457034,3.127,19.905,902783,443991,458792,16.299,33.142,-360578,-13.237,39.809,59708,60144,372971
1991,d) 3,275451,289054,2487372,2651740,13111,4.230,54855,17.699,460892,89437,371455,3.373,17.381,789165,368352,420813,13.891,29.760,-328273,-12.380,34.761,43781,44307,295190
1991,e) 4,250369,265747,2771313,2903578,12314,4.387,42266,15.056,424760,90536,334224,3.118,14.629,688715,300556,388159,10.351,23.720,-263955,-9.091,29.258,33489,34101,254586
1991,f) 5,235405,252017,2509292,2614075,11219,4.247,35542,13.454,400245,86663,313582,3.315,15.311,610882,235156,375726,8.996,23.369,-210637,-8.058,30.622,27487,28402,187951
1991,g) 6 to 10,840188,919518,9573427,9957477,39100,4.115,100473,10.574,1410926,333621,1077305,3.350,14.170,2178726,750980,1427746,7.542,21.880,-767800,-7.711,28.339,75033,77325,560894
1991,h) 11 to 15,471378,547475,6541567,6769448,23806,4.244,50701,9.039,888602,237205,651397,3.504,13.127,1341884,423136,918748,6.251,19.823,-453282,-6.696,26.253,35713,37189,304060
1991,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1991,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1991,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1991,l) Left Censored,1212059,2179373,59894937,60954768,118028,5.360,163370,7.419,6584294,2102380,4481914,3.449,10.802,8712454,2381982,6330472,3.908,14.293,-2128160,-3.491,21.604,74467,80813,902813
1992,a) 0,438697,446289,2486672,1243336,446289,200.000,X,X,2486672,2486672,X,200.000,200.000,X,X,X,X,X,2486672,200.000,X,X,X,X
1992,b) 1,337404,347725,2360189,2423656,6322,1.579,111535,27.861,721719,70647,651072,2.915,29.778,842076,505471,336605,20.856,34.744,-120357,-4.966,59.556,89649,89823,429740
1992,c) 2,306050,317365,2348962,2446530,14051,4.079,68203,19.801,546698,81891,464807,3.347,22.346,738717,378934,359783,15.489,30.194,-192019,-7.849,44.692,54817,55071,320773
1992,d) 3,272064,284727,2383936,2449548,12755,4.199,50809,16.727,512553,89627,422926,3.659,20.924,641560,314874,326686,12.854,26.191,-129007,-5.267,41.849,40469,40880,260662
